,Text,Class
6244,shave beard moustache completely mouth mask effective,fake
3067,embattled industry stepping back world changed rule whatsapp based delivery platform broeat offer restaurant reach customer turn profit covid lockdown,true
4393,ibuprofen aggravating factor paracetamol instead,fake
3391,drug widely available extremely cheap oxford university prof peter horby trial dexamethasone show reduces risk death covid patient ventilator update twitter btkhmguvum,true
6227,three tick mark whatsapp mean government initiating action,fake
6872,claim coronavirus canine coronavirus vaccine since,fake
7207,article claim nearly million united nation humanitarian package ecuador conditional south american country legalizing abortion,fake
1935,germ warfare creates test infectious covid carrier,true
6788,indian migrant asked shramik train state charge migrant travel lockdown,fake
6791,video woman jumping building locked indian police shopping lockdown country contain covid spread,fake
6769,fake picture allegedly show coronavirus protective mask fabric,fake
6796,infected people coronavirus jaipur india tobacco smoke,fake
4708,test false result percent case reliable,fake
5537,river oklahoma full catfish carrying virus,fake
4865,time history country perfectly healthy people basically confined home able essential thing kansa city louis,fake
3913,nostradamus predicted coronavirus,fake
1144,number people recovered covid kozhikode district gone seven person cured infection sunday kozhikode kerala covid,true
4740,video recorded muslim resident spain accumulates supply coronavirus,fake
7136,image worn foot sole migrant worker walking street india amis covid lockdown,fake
4801,fill census form receive economic stimulus payment,fake
2718,sikkim reported first covid case saturday year student recently returned delhi tested positive disease senior official said sikkim covid,true
536,covid case spike maharashtra kerala watch report coronavirus coronaviruspandemic coronavirusoutbreak covid twitter qhihgdujqp,true
5688,video portuguese governement asked citizen living abroad come back summer covid pandemic maintain confinement disposition,fake
2695,lloyd porter actor known bringing best neighbor opened brooklyn bakery cafe wife became local gathering spot died recently covid,true
3603,australia covid restriction coronavirus lockdown rule explained travel people,true
1224,delhi covid crisis watch manish sisodia exclusive pmprime ankit tyagi itlivestream,true
1735,covid patient asymptomatic maharashtra uddhav thackeray ndtvnewsbeeps twitter cyzrw frfe,true
444,karnataka chief minister yediyurappa said sunday victoria hospital used specially tackle covid patient hospital shifted hospital coronavirusoutbreak,true
5643,news covid shared seeking government permission,fake
3607,customer looking cure covid able coronil bongfrombongo,true
1071,lisa nandy seek urgent meeting foreign office covid repatriation,true
7205,post vaccine increase risk infected covid,fake
6020,trump president total authority open state amid covid pandemic,fake
1155,amid gloomy covid situation maharashtra state something cheer form successful tiger conservation popular tipeshwar wildlife sanctuary maharashtra tiger covid,true
2362,paul suggested death rate child school allowed reopen district district fauci warned cavalier thinking child completely immune deleterious effect covid twitter plkpnaovtj,true
1875,uttar pradesh congress president ajay kumar lallu tamkuhi kushinagar purvanchal accuses government hiding real figure covid covid coronavirus,true
3583,covid patient mumbai missing minister fled twitter rllqcmo,true
4699,cattle vaccine proof coronavirus existed year already vaccine photo showing cattle vaccine produced american medical company scourguard,fake
2890,country launch alliance share tool battle covid twitter ludo,true
2828,south bengal ruinously impacted covid amphan covid took away wage sent home migrant amphan destroyed sharecropper paddy vegetable,true
6480,french minister justice threaten french journalist host jean pierre pernaut criticized government deal epidemic,fake
3941,monkey infected coronavirus photo,fake
5433,inhaling water steam kill coronavirus,fake
